"category","airbnb-link","rule","description","fixable","recommended","airbnb-level","airbnb-value"
"Best Practices",,"=HYPERLINK(""https://eslint.org/docs/rules/accessor-pairs"", ""accessor-pairs"")","enforce getter and setter pairs in objects","","Off 🙈","Off 🙈","off"
"Best Practices","=HYPERLINK(""https://github.com/airbnb/javascript/blob/master/README.md#arrays--callback-return"", ""💬"")","=HYPERLINK(""https://eslint.org/docs/rules/array-callback-return"", ""array-callback-return"")","enforce `return` statements in callbacks of array methods","","Off 🙈","Error ⛔","[""error"",{""allowImplicit"":true}]"
"Best Practices",,"=HYPERLINK(""https://eslint.org/docs/rules/block-scoped-var"", ""block-scoped-var"")","enforce the use of variables within the scope they are defined","","Off 🙈","Error ⛔","error"
"Best Practices",,"=HYPERLINK(""https://eslint.org/docs/rules/complexity"", ""complexity"")","enforce a maximum cyclomatic complexity allowed in a program","","Off 🙈","Off 🙈","[""off"",11]"
"Best Practices",,"=HYPERLINK(""https://eslint.org/docs/rules/class-methods-use-this"", ""class-methods-use-this"")","enforce that class methods utilize `this`","","Off 🙈","Error ⛔","[""error"",{""exceptMethods"":[]}]"
"Best Practices",,"=HYPERLINK(""https://eslint.org/docs/rules/consistent-return"", ""consistent-return"")","require `return` statements to either always or never specify values","","Off 🙈","Error ⛔","error"
"Best Practices",,"=HYPERLINK(""https://eslint.org/docs/rules/curly"", ""curly"")","enforce consistent brace style for all control statements","🔧","Off 🙈","Error ⛔","[""error"",""multi-line""]"
"Best Practices",,"=HYPERLINK(""https://eslint.org/docs/rules/default-case"", ""default-case"")","require `default` cases in `switch` statements","","Off 🙈","Error ⛔","[""error"",{""commentPattern"":""^no default$""}]"
"Best Practices","=HYPERLINK(""https://github.com/airbnb/javascript/blob/master/README.md#properties--dot"", ""💬"")","=HYPERLINK(""https://eslint.org/docs/rules/dot-notation"", ""dot-notation"")","enforce dot notation whenever possible","🔧","Off 🙈","Error ⛔","[""error"",{""allowKeywords"":true}]"
"Best Practices",,"=HYPERLINK(""https://eslint.org/docs/rules/dot-location"", ""dot-location"")","enforce consistent newlines before and after dots","🔧","Off 🙈","Error ⛔","[""error"",""property""]"
"Best Practices","=HYPERLINK(""https://github.com/airbnb/javascript/blob/master/README.md#comparison--eqeqeq"", ""💬"")","=HYPERLINK(""https://eslint.org/docs/rules/eqeqeq"", ""eqeqeq"")","require the use of `===` and `!==`","🔧","Off 🙈","Error ⛔","[""error"",""always"",{""null"":""ignore""}]"
"Best Practices",,"=HYPERLINK(""https://eslint.org/docs/rules/guard-for-in"", ""guard-for-in"")","require `for-in` loops to include an `if` statement","","Off 🙈","Error ⛔","error"
"Best Practices",,"=HYPERLINK(""https://eslint.org/docs/rules/no-alert"", ""no-alert"")","disallow the use of `alert`, `confirm`, and `prompt`","","Off 🙈","Warn ⚠️","warn"
"Best Practices",,"=HYPERLINK(""https://eslint.org/docs/rules/no-caller"", ""no-caller"")","disallow the use of `arguments.caller` or `arguments.callee`","","Off 🙈","Error ⛔","error"
"Best Practices","=HYPERLINK(""https://github.com/airbnb/javascript/blob/master/README.md#comparison--switch-blocks"", ""💬"")","=HYPERLINK(""https://eslint.org/docs/rules/no-case-declarations"", ""no-case-declarations"")","disallow lexical declarations in case clauses","","Error ⛔","Error ⛔","error"
"Best Practices",,"=HYPERLINK(""https://eslint.org/docs/rules/no-div-regex"", ""no-div-regex"")","disallow division operators explicitly at the beginning of regular expressions","","Off 🙈","Off 🙈","off"
"Best Practices","=HYPERLINK(""https://github.com/airbnb/javascript/blob/master/README.md#blocks--no-else-return"", ""💬"")","=HYPERLINK(""https://eslint.org/docs/rules/no-else-return"", ""no-else-return"")","disallow `else` blocks after `return` statements in `if` statements","🔧","Off 🙈","Error ⛔","[""error"",{""allowElseIf"":false}]"
"Best Practices",,"=HYPERLINK(""https://eslint.org/docs/rules/no-empty-function"", ""no-empty-function"")","disallow empty functions","","Off 🙈","Error ⛔","[""error"",{""allow"":[""arrowFunctions"",""functions"",""methods""]}]"
"Best Practices",,"=HYPERLINK(""https://eslint.org/docs/rules/no-empty-pattern"", ""no-empty-pattern"")","disallow empty destructuring patterns","","Error ⛔","Error ⛔","error"
"Best Practices",,"=HYPERLINK(""https://eslint.org/docs/rules/no-eq-null"", ""no-eq-null"")","disallow `null` comparisons without type-checking operators","","Off 🙈","Off 🙈","off"
"Best Practices","=HYPERLINK(""https://github.com/airbnb/javascript/blob/master/README.md#strings--eval"", ""💬"")","=HYPERLINK(""https://eslint.org/docs/rules/no-eval"", ""no-eval"")","disallow the use of `eval()`","","Off 🙈","Error ⛔","error"
"Best Practices",,"=HYPERLINK(""https://eslint.org/docs/rules/no-extend-native"", ""no-extend-native"")","disallow extending native types","","Off 🙈","Error ⛔","error"
"Best Practices",,"=HYPERLINK(""https://eslint.org/docs/rules/no-extra-bind"", ""no-extra-bind"")","disallow unnecessary calls to `.bind()`","🔧","Off 🙈","Error ⛔","error"
"Best Practices",,"=HYPERLINK(""https://eslint.org/docs/rules/no-extra-label"", ""no-extra-label"")","disallow unnecessary labels","🔧","Off 🙈","Error ⛔","error"
"Best Practices",,"=HYPERLINK(""https://eslint.org/docs/rules/no-fallthrough"", ""no-fallthrough"")","disallow fallthrough of `case` statements","","Error ⛔","Error ⛔","error"
"Best Practices",,"=HYPERLINK(""https://eslint.org/docs/rules/no-floating-decimal"", ""no-floating-decimal"")","disallow leading or trailing decimal points in numeric literals","🔧","Off 🙈","Error ⛔","error"
"Best Practices",,"=HYPERLINK(""https://eslint.org/docs/rules/no-global-assign"", ""no-global-assign"")","disallow assignments to native objects or read-only global variables","","Error ⛔","Error ⛔","[""error"",{""exceptions"":[]}]"
"Best Practices",,"=HYPERLINK(""https://eslint.org/docs/rules/no-native-reassign"", ""no-native-reassign"")","disallow assignments to native objects or read-only global variables","","Off 🙈","Off 🙈","off"
"Best Practices",,"=HYPERLINK(""https://eslint.org/docs/rules/no-implicit-coercion"", ""no-implicit-coercion"")","disallow shorthand type conversions","🔧","Off 🙈","Off 🙈","[""off"",{""boolean"":false,""number"":true,""string"":true,""allow"":[]}]"
"Best Practices",,"=HYPERLINK(""https://eslint.org/docs/rules/no-implicit-globals"", ""no-implicit-globals"")","disallow variable and `function` declarations in the global scope","","Off 🙈","Off 🙈","off"
"Best Practices",,"=HYPERLINK(""https://eslint.org/docs/rules/no-implied-eval"", ""no-implied-eval"")","disallow the use of `eval()`-like methods","","Off 🙈","Error ⛔","error"
"Best Practices",,"=HYPERLINK(""https://eslint.org/docs/rules/no-invalid-this"", ""no-invalid-this"")","disallow `this` keywords outside of classes or class-like objects","","Off 🙈","Off 🙈","off"
"Best Practices","=HYPERLINK(""https://github.com/airbnb/javascript/blob/master/README.md#iterators--nope"", ""💬"")","=HYPERLINK(""https://eslint.org/docs/rules/no-iterator"", ""no-iterator"")","disallow the use of the `__iterator__` property","","Off 🙈","Error ⛔","error"
"Best Practices",,"=HYPERLINK(""https://eslint.org/docs/rules/no-labels"", ""no-labels"")","disallow labeled statements","","Off 🙈","Error ⛔","[""error"",{""allowLoop"":false,""allowSwitch"":false}]"
"Best Practices",,"=HYPERLINK(""https://eslint.org/docs/rules/no-lone-blocks"", ""no-lone-blocks"")","disallow unnecessary nested blocks","","Off 🙈","Error ⛔","error"
"Best Practices","=HYPERLINK(""https://github.com/airbnb/javascript/blob/master/README.md#functions--in-blocks"", ""💬"")","=HYPERLINK(""https://eslint.org/docs/rules/no-loop-func"", ""no-loop-func"")","disallow `function` declarations and expressions inside loop statements","","Off 🙈","Error ⛔","error"
"Best Practices",,"=HYPERLINK(""https://eslint.org/docs/rules/no-magic-numbers"", ""no-magic-numbers"")","disallow magic numbers","","Off 🙈","Off 🙈","[""off"",{""ignore"":[],""ignoreArrayIndexes"":true,""enforceConst"":true,""detectObjects"":false}]"
"Best Practices",,"=HYPERLINK(""https://eslint.org/docs/rules/no-multi-spaces"", ""no-multi-spaces"")","disallow multiple spaces","🔧","Off 🙈","Error ⛔","[""error"",{""ignoreEOLComments"":false}]"
"Best Practices",,"=HYPERLINK(""https://eslint.org/docs/rules/no-multi-str"", ""no-multi-str"")","disallow multiline strings","","Off 🙈","Error ⛔","error"
"Best Practices",,"=HYPERLINK(""https://eslint.org/docs/rules/no-new"", ""no-new"")","disallow `new` operators outside of assignments or comparisons","","Off 🙈","Error ⛔","error"
"Best Practices","=HYPERLINK(""https://github.com/airbnb/javascript/blob/master/README.md#functions--constructor"", ""💬"")","=HYPERLINK(""https://eslint.org/docs/rules/no-new-func"", ""no-new-func"")","disallow `new` operators with the `Function` object","","Off 🙈","Error ⛔","error"
"Best Practices","=HYPERLINK(""https://github.com/airbnb/javascript/blob/master/README.md#coercion--booleans"", ""💬"")","=HYPERLINK(""https://eslint.org/docs/rules/no-new-wrappers"", ""no-new-wrappers"")","disallow `new` operators with the `String`, `Number`, and `Boolean` objects","","Off 🙈","Error ⛔","error"
"Best Practices",,"=HYPERLINK(""https://eslint.org/docs/rules/no-octal"", ""no-octal"")","disallow octal literals","","Error ⛔","Error ⛔","error"
"Best Practices",,"=HYPERLINK(""https://eslint.org/docs/rules/no-octal-escape"", ""no-octal-escape"")","disallow octal escape sequences in string literals","","Off 🙈","Error ⛔","error"
"Best Practices","=HYPERLINK(""https://github.com/airbnb/javascript/blob/master/README.md#functions--reassign-params"", ""💬"")","=HYPERLINK(""https://eslint.org/docs/rules/no-param-reassign"", ""no-param-reassign"")","disallow reassigning `function` parameters","","Off 🙈","Error ⛔","[""error"",{""props"":true,""ignorePropertyModificationsFor"":[""acc"",""accumulator"",""e"",""ctx"",""req"",""request"",""res"",""response"",""$scope""]}]"
"Best Practices",,"=HYPERLINK(""https://eslint.org/docs/rules/no-proto"", ""no-proto"")","disallow the use of the `__proto__` property","","Off 🙈","Error ⛔","error"
"Best Practices",,"=HYPERLINK(""https://eslint.org/docs/rules/no-redeclare"", ""no-redeclare"")","disallow variable redeclaration","","Error ⛔","Error ⛔","error"
"Best Practices","=HYPERLINK(""https://github.com/airbnb/javascript/blob/master/README.md#properties--bracket"", ""💬"")","=HYPERLINK(""https://eslint.org/docs/rules/no-restricted-properties"", ""no-restricted-properties"")","disallow certain properties on certain objects","","Off 🙈","Error ⛔","[""error"",{""object"":""arguments"",""property"":""callee"",""message"":""arguments.callee is deprecated""},{""object"":""global"",""property"":""isFinite"",""message"":""Please use Number.isFinite instead""},{""object"":""self"",""property"":""isFinite"",""message"":""Please use Number.isFinite instead""},{""object"":""window"",""property"":""isFinite"",""message"":""Please use Number.isFinite instead""},{""object"":""global"",""property"":""isNaN"",""message"":""Please use Number.isNaN instead""},{""object"":""self"",""property"":""isNaN"",""message"":""Please use Number.isNaN instead""},{""object"":""window"",""property"":""isNaN"",""message"":""Please use Number.isNaN instead""},{""property"":""__defineGetter__"",""message"":""Please use Object.defineProperty instead.""},{""property"":""__defineSetter__"",""message"":""Please use Object.defineProperty instead.""},{""object"":""Math"",""property"":""pow"",""message"":""Use the exponentiation operator (**) instead.""}]"
"Best Practices",,"=HYPERLINK(""https://eslint.org/docs/rules/no-return-assign"", ""no-return-assign"")","disallow assignment operators in `return` statements","","Off 🙈","Error ⛔","[""error"",""always""]"
